Label,Mode,FlexPinky,FlexRing,FlexMiddle,FlexIndex,FlexThumb,TouchIndex,TouchMiddle,TouchRing,TouchPinky,TouchR,TouchU,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
I,1,1313,745,755,326,2596,1,1,1,1,0,0,15464,8844,-4472,-131,245,522
I,1,1331,754,734,272,2593,1,1,1,1,0,0,15276,8416,-4868,-682,-23,771
I,1,1304,797,731,207,2559,1,1,1,1,0,0,15120,7636,-4496,-1097,35,382
I,1,1311,781,734,399,2608,1,1,1,1,0,0,15624,7688,-3252,-968,-355,-467
I,1,1344,653,690,406,2667,0,1,1,1,0,0,15508,7932,-3220,554,-915,-465
I,1,1307,905,774,464,2559,1,1,1,1,0,0,15280,8704,-4596,177,-1031,-68
I,1,1296,746,783,315,2559,1,1,1,1,0,0,14972,8680,-5112,938,-370,209
I,1,1313,783,758,291,2559,0,1,1,1,0,0,15172,8624,-4772,538,-420,-6
I,1,1349,731,676,275,2608,1,1,1,1,0,0,15264,8912,-5288,-108,-254,342
I,1,1263,816,901,294,2529,0,0,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1281,725,750,272,2558,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1264,750,758,272,2606,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1307,808,781,274,2596,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1309,763,704,286,2559,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1273,784,779,177,2559,0,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1330,855,771,307,2549,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1212,777,775,257,2559,0,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1284,843,703,202,2599,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1296,591,765,364,2543,0,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1571,770,717,271,2602,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1287,767,739,253,2558,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1277,771,752,287,2593,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1290,782,756,293,2557,0,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1282,785,768,289,2539,1,1,1,1,0,0,15280,8664,-5324,-487,73,767
I,1,1223,784,823,277,2589,0,1,1,1,0,0,15092,8300,-3600,489,2784,-685
I,1,1174,763,896,336,2514,1,1,1,1,0,0,15884,8608,-2288,-2263,1194,46
I,1,1307,760,647,318,2623,0,1,1,1,0,0,16072,6724,-1880,-1998,-1055,485
I,1,1254,752,773,306,2594,0,1,1,1,0,0,16316,7044,-2456,-3386,-3285,379
I,1,1273,793,785,272,2559,1,1,1,1,0,0,16416,7972,-3860,-1536,-3092,1299
I,1,1307,809,459,169,2589,0,1,1,1,0,0,15940,7728,-5004,-1242,-628,2211
I,1,1219,886,774,190,2579,1,1,1,1,0,0,15740,5508,-4828,-609,-2420,1701
I,1,1272,715,539,315,2502,0,1,1,1,0,0,15820,5852,-6044,-1338,-2428,-1264
I,1,1266,778,734,304,2559,1,1,1,1,0,0,15368,8228,-5748,-1611,-1111,-1400
